영역,테이블_또는_파일,컬럼명,키_역할,참조_테이블,참조_컬럼,엔진에서_쓰는_곳,비고
SQLite,diagnosis_results,recommendation_path,결과,,,추천 경로,
SQLite,diagnosis_results,confidence_score,결과,,,신뢰도,
SQLite,diagnosis_results,created_at,속성,,,저장 시각,
SQLite,return_feedback,id,PK(AUTO),,,피드백 행 식별. 한 세션에 여러 건 가능,
SQLite,return_feedback,session_id,FK,diagnosis_results,session_id,반품/만족 피드백. JOIN 리포트,
SQLite,return_feedback,was_returned,측정값,,,반품 1/0,
SQLite,return_feedback,return_reason,측정값,,,반품 사유,
SQLite,return_feedback,satisfaction_score,측정값,,,1~5,
SQLite,return_feedback,recorded_at,속성,,,기록 시각,
CSV 카탈로그,products.csv,product_id,PK(논리),,,상품 마스터. 엔진은 dict[product_id],
CSV 카탈로그,products.csv,name,속성,,,상품명,
CSV 카탈로그,products.csv,category,속성,,,로퍼/구두 등=inp.design 매칭,
CSV 카탈로그,products.csv,brand,속성,,,브랜드,
CSV 카탈로그,products.csv,price,속성,,,가격,
CSV 카탈로그,products.csv,status,속성,,,판매중 필터,
CSV 카탈로그,products.csv,image_url,속성,,,이미지,
CSV 카탈로그,products.csv,product_url,속성,,,스마트스토어 링크,
CSV 카탈로그,product_fit_specs.csv,product_id,FK,products.csv,product_id,상품당 여러 행(사이즈·핏 조합),
CSV 카탈로그,product_fit_specs.csv,size_mm,복합키 후보,,,사이즈별 스펙,
CSV 카탈로그,product_fit_specs.csv,fit_line,복합키 후보,,,기본핏/편한핏 등,
CSV 카탈로그,product_fit_specs.csv,width_code,속성,,,발볼 폭 코드,
CSV 카탈로그,product_fit_specs.csv,toe_shape,속성,,,앞코,
CSV 카탈로그,product_fit_specs.csv,instep_room,속성,,,발등 여유,
CSV 카탈로그,product_fit_specs.csv,color,속성,,,색,
CSV 카탈로그,product_fit_specs.csv,age_group,속성,,,연령,
CSV 카탈로그,product_fit_specs.csv,recommended_for,속성,,,증상 태그 문자열,
CSV 카탈로그,product_tags.csv,product_id,FK,products.csv,product_id,상품당 태그 여러 행,
CSV 카탈로그,product_tags.csv,tag_type,복합키 후보,,,증상/컬러 등,
CSV 카탈로그,product_tags.csv,tag_value,복합키 후보,,,태그 값,
CSV 카탈로그,orders_returns_fit_feedback.csv,order_id,PK(논리),,,주문 1건,
CSV 카탈로그,orders_returns_fit_feedback.csv,session_id,FK(논리),diagnosis_results,session_id,진단 세션과 연결(예시 데이터),
CSV 카탈로그,orders_returns_fit_feedback.csv,customer_key,속성,,,고객 키(익명화 가능),
CSV 카탈로그,orders_returns_fit_feedback.csv,product_id,FK(논리),products.csv,product_id,반품율 집계 hybrid_recommender,
CSV 카탈로그,orders_returns_fit_feedback.csv,size_mm,속성,,,주문 사이즈,
CSV 카탈로그,orders_returns_fit_feedback.csv,ordered_at,속성,,,주문 시각,
CSV 카탈로그,orders_returns_fit_feedback.csv,was_returned,측정값,,,반품 여부,
CSV 카탈로그,orders_returns_fit_feedback.csv,return_reason,측정값,,,반품 사유,
CSV 카탈로그,orders_returns_fit_feedback.csv,returned_at,속성,,,반품 시각,
CSV 카탈로그,orders_returns_fit_feedback.csv,fit_feedback,측정값,,,만족 코멘트,
런타임,CustomerInput(dataclass),session_id,PK(논리),customer_inputs,session_id,engine.py 진단 입력,
런타임,DiagnosisResult(dataclass),session_id,FK(논리),CustomerInput,session_id,engine.py 진단 출력,
런타임,DiagnosisResult(dataclass),recommended_product_id,FK(논리),products.csv,product_id,TOP 추천 상품 ID,
런타임,SessionStore(메모리/DB),session_id,PK(논리),,,api.py 대화 상태. SQLite 세션과 동일 ID 사용 권장,
RAG 파일,data/rag_docs/{session_id}.json,doc_id,PK(논리),customer_inputs,session_id,파일명=session_id. DB와 1:1 대응,
